TIPO,NOMBRE,ISO_PAIS,FACTOR,URL_LOGO
1,Ryanair,GLOB,0.50,https://www.google.com/s2/favicons?domain=ryanair.com&sz=128
1,EasyJet,GLOB,0.60,https://www.google.com/s2/favicons?domain=easyjet.com&sz=128
1,Wizz Air,GLOB,0.50,https://www.google.com/s2/favicons?domain=wizzair.com&sz=128
1,Emirates,GLOB,1.50,https://www.google.com/s2/favicons?domain=emirates.com&sz=128
1,Qatar Airways,GLOB,1.50,https://www.google.com/s2/favicons?domain=qatarairways.com&sz=128
1,Etihad,GLOB,1.40,https://www.google.com/s2/favicons?domain=etihad.com&sz=128
1,Turkish Airlines,GLOB,1.20,https://www.google.com/s2/favicons?domain=turkishairlines.com&sz=128
1,United Airlines,GLOB,1.10,https://www.google.com/s2/favicons?domain=united.com&sz=128
1,Delta,GLOB,1.20,https://www.google.com/s2/favicons?domain=delta.com&sz=128
1,American Airlines,GLOB,1.10,https://www.google.com/s2/favicons?domain=aa.com&sz=128
1,Lufthansa,GLOB,1.30,https://www.google.com/s2/favicons?domain=lufthansa.com&sz=128
1,Air France,GLOB,1.20,https://www.google.com/s2/favicons?domain=airfrance.com&sz=128
1,KLM,GLOB,1.20,https://www.google.com/s2/favicons?domain=klm.com&sz=128
1,British Airways,GLOB,1.30,https://www.google.com/s2/favicons?domain=britishairways.com&sz=128
1,LATAM,GLOB,1.10,https://www.google.com/s2/favicons?domain=latamairlines.com&sz=128
1,AirAsia,GLOB,0.50,https://www.google.com/s2/favicons?domain=airasia.com&sz=128
1,Iberia,ES,1.20,https://www.google.com/s2/favicons?domain=iberia.com&sz=128
1,Air Europa,ES,1.00,https://www.google.com/s2/favicons?domain=aireuropa.com&sz=128
1,Vueling,ES,0.80,https://www.google.com/s2/favicons?domain=vueling.com&sz=128
1,Volotea,ES,0.70,https://www.google.com/s2/favicons?domain=volotea.com&sz=128
1,Binter,ES,1.00,https://www.google.com/s2/favicons?domain=bintercanarias.com&sz=128
1,Iberia Express,ES,0.80,https://www.google.com/s2/favicons?domain=iberiaexpress.com&sz=128
1,Air Nostrum,ES,0.90,https://www.google.com/s2/favicons?domain=airnostrum.es&sz=128
1,Canaryfly,ES,0.70,https://www.google.com/s2/favicons?domain=canaryfly.es&sz=128
1,Plus Ultra,ES,0.90,https://www.google.com/s2/favicons?domain=plusultra.com&sz=128
1,Wamos Air,ES,0.90,https://www.google.com/s2/favicons?domain=wamosair.com&sz=128
1,AlbaStar,ES,0.80,https://www.google.com/s2/favicons?domain=albastar.es&sz=128
1,TAP Portugal,PT,1.00,https://www.google.com/s2/favicons?domain=flytap.com&sz=128
1,SATA Azores,PT,1.10,https://www.google.com/s2/favicons?domain=azoresairlines.pt&sz=128
1,ITA Airways,IT,1.10,https://www.google.com/s2/favicons?domain=ita-airways.com&sz=128
1,Neos,IT,0.90,https://www.google.com/s2/favicons?domain=neosair.it&sz=128
1,Air Dolomiti,IT,1.00,https://www.google.com/s2/favicons?domain=airdolomiti.eu&sz=128
1,Aegean Airlines,GR,1.00,https://www.google.com/s2/favicons?domain=aegeanair.com&sz=128
1,Olympic Air,GR,0.90,https://www.google.com/s2/favicons?domain=olympicair.com&sz=128
1,Sky Express,GR,0.80,https://www.google.com/s2/favicons?domain=skyexpress.gr&sz=128
1,SAS,SE,1.20,https://www.google.com/s2/favicons?domain=flysas.com&sz=128
